City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed
135,emba,0,KZ,1603766313,91,48.83,58.14,30.16,19.51
136,matay,0,EG,1603766313,91,28.42,30.78,66.61,8.93
137,mandera,96,KE,1603766313,72,3.94,41.87,78.31,13.78
138,vardo,11,NO,1603766313,79,70.37,31.11,39.99,19.93
139,cidreira,100,BR,1603766313,92,-30.18,-50.21,65.05,14.97
140,kavaratti,26,IN,1603766314,70,10.57,72.64,82,5.28
141,berlevag,2,NO,1603766314,78,70.86,29.09,37.99,14.54
142,college,90,US,1603766314,79,64.86,-147.8,26.6,5.82
143,azanka,100,RU,1603766314,96,58.04,64.79,27.9,18.34
144,campbeltown,95,GB,1603766314,87,55.43,-5.61,48.2,12.75
145,mamallapuram,40,IN,1603766315,94,12.63,80.17,80.6,3.36
146,kafanchan,41,NG,1603766315,61,9.58,8.3,67.64,3.13
147,thompson,5,CA,1603766119,57,55.74,-97.86,23,8.05
148,mehamn,43,NO,1603766315,77,71.04,27.85,37.94,9.08
149,kouqian,0,CN,1603766315,55,43.64,126.46,45.1,9.35
150,hervey bay,99,AU,1603766316,79,-25.3,152.85,80.01,5.01
151,nanortalik,94,GL,1603766316,92,60.14,-45.24,32.52,16.73
152,ozark,100,US,1603766316,94,37.02,-93.21,34,1.99
153,labuhan,100,ID,1603766316,59,-6.88,112.21,87.8,5.68
154,clyde river,2,CA,1603766104,86,70.47,-68.59,9.39,4
155,pangody,0,RU,1603766317,93,65.85,74.49,2.19,9.24
156,sao filipe,98,CV,1603766127,81,14.9,-24.5,79.21,10.11
157,hithadhoo,52,MV,1603766317,65,-0.6,73.08,83.48,7.29
158,saint paul,1,US,1603766317,58,44.94,-93.09,24.8,4.7
159,samusu,,,,,,,,
160,newtownards,100,GB,1603766318,100,54.59,-5.69,43,4.7
161,komsomolskiy,0,UZ,1603766318,48,40.43,71.72,42.8,6.93
162,tumpat,20,MY,1603766318,74,6.2,102.17,84.2,3.36
163,ixtapa,20,MX,1603766318,79,20.7,-105.2,84.99,9.17
164,san jeronimo,97,PE,1603766319,63,-11.95,-75.28,54.52,1.77
165,jamestown,90,US,1603766128,100,42.1,-79.24,44.01,2.84
166,bengkulu,100,ID,1603766106,66,-3.8,102.27,82.54,0.85
167,pong,75,TH,1603766319,94,19.15,100.28,77,3.36
168,tarakan,98,ID,1603766319,76,3.3,117.63,81,17.2
169,port-gentil,100,GA,1603766320,86,-0.72,8.78,77.97,13.09
170,constitucion,100,CL,1603766320,84,-35.33,-72.42,49.84,9.44
171,narsaq,89,GL,1603766320,43,60.92,-46.05,35.6,1.12
172,miraflores,40,MX,1603766320,45,19.22,-98.81,66.2,8.05
173,nome,1,US,1603766059,64,64.5,-165.41,35.6,9.17
174,east london,55,ZA,1603766113,83,-33.02,27.91,66.92,19.13
175,stoyba,,,,,,,,
176,hofn,80,IS,1603766321,77,64.25,-15.21,36.86,14.38
177,panambi,64,BR,1603766321,90,-28.29,-53.5,59.76,8.08
178,mountain home,90,US,1603766107,23,43.13,-115.69,39.2,10.29
179,saint-augustin,100,CA,1603766127,82,51.23,-58.65,33.28,11.05
180,laguna,1,US,1603766322,8,38.42,-121.42,69.01,12.75
181,marsaxlokk,40,MT,1603766322,77,35.84,14.54,70,6.93
182,beringovskiy,0,RU,1603766322,86,63.05,179.32,33.19,2.53
183,cherskiy,84,RU,1603766322,94,68.75,161.3,7.21,8.14
184,leningradskiy,100,RU,1603766323,93,69.38,178.42,24.82,15.43
185,kouango,99,CF,1603766323,96,4.99,19.96,71.8,2.57
186,pachperwa,0,IN,1603766323,46,27.52,82.65,72.52,1.54
187,dikson,81,RU,1603766323,95,73.51,80.55,10.4,17.47
188,turukhansk,0,RU,1603766324,88,65.82,87.98,-0.6,6.55
189,evensk,100,RU,1603766172,87,61.95,159.23,32.5,11.97
190,rocha,96,UY,1603766324,69,-34.48,-54.33,52.21,10.4
191,maymanak,,,,,,,,
192,barahona,100,DO,1603766324,78,18.21,-71.1,79.61,1.21
193,locri,5,IT,1603766325,93,38.24,16.26,60.8,3.36
194,auki,100,SB,1603766325,77,-8.77,160.7,83.21,2.37
195,elat,0,IL,1603766325,36,29.56,34.95,75.2,5.39
196,samarai,99,PG,1603766326,76,-10.62,150.67,82.63,7.36
197,sabla,0,NG,1603766326,26,12.75,4.71,73.8,4.59
198,imbituba,75,BR,1603766326,94,-28.24,-48.67,71.6,13.87
199,marawi,85,PH,1603766159,75,8,124.29,84,5.01
200,george,1,ZA,1603766326,100,-33.96,22.46,60.8,6.93
201,lata,20,PT,1603766327,93,40.16,-8.33,51.01,4.7
202,sept-iles,90,CA,1603766327,100,50.2,-66.38,30.99,5.82
203,elko,75,US,1603766230,11,41,-115.5,39.2,12.75
204,kotido,99,UG,1603766327,68,2.98,34.13,70.43,2.84
205,christchurch,100,NZ,1603766260,58,-43.53,172.63,59,8.05
206,kandrian,58,PG,1603766327,74,-6.22,149.55,84.02,3.8
207,ono,20,JP,1603766040,59,34.85,134.93,66.2,6.93
208,wajir,82,KE,1603766328,69,1.75,40.06,77.07,13.33
209,viligili,,,,,,,,
210,nautla,1,MX,1603766328,84,20.22,-96.78,77.76,12.17
211,kalianget,95,ID,1603766328,61,-7.05,113.93,86.02,1.9
212,lagoa,99,PT,1603766329,84,39.05,-27.98,67.32,12.48
213,tiksi,96,RU,1603766329,93,71.69,128.87,6.24,5.03
214,dunedin,43,NZ,1603766329,66,-45.87,170.5,54,11.99
215,great falls,90,US,1603766329,63,47.5,-111.3,26.6,18.34
216,fukuma,75,JP,1603766330,56,33.77,130.47,78.01,2.24
217,ancud,90,CL,1603766330,87,-41.87,-73.82,46,6.93
218,illapel,0,CL,1603766330,71,-31.63,-71.17,52.12,2.28
219,yirol,,,,,,,,
220,aljezur,0,PT,1603766330,74,37.32,-8.8,54.55,3.44
221,mahaicony,,,,,,,,
222,karratha,0,AU,1603766142,34,-20.74,116.85,85.95,12.97
223,zhigansk,100,RU,1603766331,92,66.77,123.37,2.59,11.34
224,lorengau,85,PG,1603766331,76,-2.02,147.27,82.54,4.21
225,kendari,55,ID,1603766332,55,-3.94,122.5,88.41,6.38
226,chernaya kholunitsa,28,RU,1603766332,97,58.85,51.72,24.6,2.98
227,lokosovo,100,RU,1603766332,96,61.13,74.82,24.58,14.34
228,jumla,0,NP,1603766332,27,29.27,82.18,58.26,0.81
229,lavrentiya,2,RU,1603766332,91,65.58,-171,31.05,4.47
230,dunyapur,0,PK,1603766333,82,29.8,71.72,62.6,2.57
231,jacmel,71,HT,1603766333,70,18.23,-72.53,84.2,5.82
232,attawapiskat,,,,,,,,
233,egvekinot,100,RU,1603766333,96,66.32,-179.17,22.46,4.09
234,laramie,0,US,1603766300,83,41.31,-105.59,8.01,2.95
235,iquitos,98,PE,1603766334,92,-3.75,-73.25,76.12,1.63
236,port hardy,90,CA,1603766334,100,50.7,-127.42,44.6,2.24
237,sarzana,59,IT,1603766334,85,44.11,9.96,54,7
238,abnub,0,EG,1603766334,68,27.27,31.15,68,4.7
239,buqayq,,,,,,,,
240,nyurba,73,RU,1603766335,83,63.28,118.33,15.73,2.55
241,peniche,78,PT,1603766335,78,39.36,-9.38,55,4
242,kruisfontein,1,ZA,1603766335,89,-34,24.73,64,1.99
243,kingaroy,75,AU,1603766336,51,-26.53,151.83,80.6,8.05
244,dicabisagan,100,PH,1603766336,71,17.08,122.42,84.16,2.48
245,prince rupert,90,CA,1603766336,100,54.32,-130.32,51.8,6.93
